"","scientific_name","TenK.tax","IUCN.family","IUCN.genus","IUCN.common.name","radiation","Estrada.Continent","Act.per","Terrestrial.binary","Terrestrial.ordinal","ground.use","ground.use.prop","reference","notes","WC1_area_mean","WC1_area_mean.sc","WC12_area_mean","WC12_area_mean.sc","AvBody.mass.comb","AvBody.mass.comb.sc","FBody.mass.comb","FBody.mass.comb.sc","Perc.fruit.comb","Perc.fruit.comb.sc","FH.Median","FH.Median.sc","NDVI.MED","NDVI.MED.sc","n.carn.y","n.carn.sc","n.carn.f","n.carn.sc.f","TC.median","TC.median.sc"
"1","Allenopithecus nigroviridis","Allenopithecus nigroviridis","CERCOPITHECIDAE","Allenopithecus","Allen's Swamp Monkey","Cercopithecoidea","Africa","Diurnal",TRUE,"semiterrestrial",NA,NA,"McGraw (1994) ","McGraw (1994) states that this species was seen mostly on the ground, supporting previous findings that they are semi-terrestrial",24.98313067,0.343902628514459,1854.722869,-0.124398436031312,4702.5,-0.0519498422213646,3965,-0.1689379,60.5,0.790726818469016,25,1.00649579021665,8280.333008,0.579636048953946,11,0.0911862925452041,11,-0.0589894387702219,74,1.12524673078423
"2","Allocebus trichotis","Allocebus trichotis","CHEIROGALEIDAE","Allocebus","Hairy-eared Dwarf Lemur","Lemuriformes","Madagascar","Nocturnal",FALSE,"arboreal",0,0,NA,"ADW: Allocebus trichotis: INFORMATION (animaldiversity.org)  ""rarest of the extant lemurs, little is known about it's behavior"" Nocturnal. Exhibits torpor, which can occur in leaf litter at base of a tree. ",21.01999034,-0.886400725459197,2257.411506,0.429694300276492,85,-0.431661042097948,78.9,-0.563467148,7,-1.33677838147935,20,0.500409380360846,8610.897461,0.822739054859593,3,-0.962841089000934,3,-1.07138937937369,71,1.00328214280146
"3","Allochrocebus lhoesti","Cercopithecus lhoesti","CERCOPITHECIDAE","Allochrocebus","L'Hoest's Monkey","Cercopithecoidea","Africa","Diurnal",FALSE,"semiterrestrial",38,0.38,"Kaplin and Moermond (2000) ","Kaplin and Moermond (2000) report this species uses the ground 38% of the time. This would qualify as not terrestrial in the binary categorization, along with the 3 Allochrocebus spp. below, if >40% ground use is the definition",22.955727,-0.28547744066404,1700.143632,-0.337096845014982,4750,-0.0480437714050922,4385,-0.126298162,27.9,-0.505659527667744,27,1.20893035415898,8353,0.633076653426084,14,0.486446560625006,15,0.447210531531511,78,1.28786618142793
"4","Allochrocebus preussi","Cercopithecus preussi","CERCOPITHECIDAE","Allochrocebus","Preuss’s Monkey","Cercopithecoidea","Africa","Diurnal",FALSE,"semiterrestrial",35,0.35,"Gartland and Struhsaker (1972), Gautir-Hion (1988)","Gartlan and Struhsaker (1972) or Gautier-Hion (1988) report this species uses the ground 35% of the time)",23.39134038,-0.150247154117563,2290.63477,0.475408948189035,10000,0.383679845130276,5140,-0.049648157,51.9,0.448735328383858,16,0.0955402524761993,6869.63623,-0.457815570664727,4,-0.831087666307667,7,-0.565189409071954,26,-0.826186676940159
"5","Allochrocebus preussi insularis",NA,"CERCOPITHECIDAE","Allochrocebus","Bioko Preuss’s Monkey","Cercopithecoidea","Africa","Diurnal",FALSE,"semiterrestrial",25.5,0.255,"Kirchner (2004) ","spp. refers to island population. Kirchner (2004) estimates 25.5% of observations on ground. ",19.60489528,-1.3256978619574,2832.646175,1.22120745083337,NA,NA,NA,NA,NA,NA,25,1.00649579021665,2541.74108886719,-3.6406269967131,NA,NA,NA,NA,19,-1.11077071556663
"6","Allochrocebus preussi preussi",NA,"CERCOPITHECIDAE","Allochrocebus","Cameroon Preuss’s Monkey","Cercopithecoidea","Africa","Diurnal",TRUE,"terrestrial",40,0.4,"Struhsaker (1969), Gartland and Struhsaker 1972)","spp. refers to mainland population",23.53085905,-0.106935468597978,2270.663344,0.44792860465923,NA,NA,NA,NA,NA,NA,15,-0.00567702949496249,6884.33349609375,-0.447006938540009,NA,NA,NA,NA,26,-0.826186676940159
"7","Allochrocebus solatus","Cercopithecus solatus","CERCOPITHECIDAE","Allochrocebus","Sun-tailed Monkey","Cercopithecoidea","Africa","Diurnal",FALSE,"semiterrestrial",33.7,0.337,"Motsch et al. 2015","estimates 33.7% terrestriality. Percent fruit data from semi-free ranging group study referenced here: https://neprimateconservancy.org/sun-tailed-monkey/",24.38597504,0.158523733684043,1795.726657,-0.205576223371945,5000,-0.0274855039510271,5260,-0.037465375,19.5,-0.839697727285805,30,1.51258220007246,7979.472168,0.358377610850507,7,-0.435827398227865,7,-0.565189409071954,49,0.108875164261112
"8","Alouatta arctoidea",NA,"ATELIDAE","Alouatta","Ursine Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",NA,NA,NA,"Weight data from IUCN, averaged for males and females, weight listed as same as A.seniculus.",26.29114673,0.749958536625441,1430.00112,-0.70880836084587,5490,0.0128087002589406,NA,NA,NA,NA,2,-1.32150169512007,6884.5,-0.446884488591937,8,-0.304073975534598,NA,NA,23,-0.948151264922934
"9","Alouatta belzebul","Alouatta belzebul","ATELIDAE","Alouatta","Red-handed Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",0,0,"Bobadilla and Ferrari (2000) Habitat use by Chiropotes satanas utahicki and Syntopic platarrhines in Eastern Amazonia",NA,25.65114374,0.551278257961129,1924.412036,-0.0285073239261511,6400,0.0876407937917378,5852.5,0.022687112,57.3,0.663474170995469,7,-0.815415285264256,8075.399902,0.428924580657685,9,-0.17232055284133,9,-0.312089423921088,37,-0.378983187669986
"10","Alouatta caraya","Alouatta caraya","ATELIDAE","Alouatta","Black-and-gold Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",0.4185714,0.004185714,NA,NA,23.62577104,-0.0774713240292405,1426.593608,-0.713497039578271,7000,0.136980635681494,4915,-0.072490874,24.4,-0.644842110841936,2,-1.32150169512007,6768.25,-0.532376815973343,10,-0.0405671301480632,12,0.0675605538052113,18,-1.15142557822756
"11","Alouatta discolor",NA,"ATELIDAE","Alouatta","Spix's Red-handed Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",NA,NA,NA,"Weight data from IUCN, averaged for males and females",25.911417,0.632076573959104,2098.204805,0.21062857929458,7100,0.14520394266312,NA,NA,55.6,0.595871202025147,25,1.00649579021665,8722,0.904445847436741,6,-0.567580820921132,NA,NA,74,1.12524673078423
"12","Alouatta guariba","Alouatta guariba","ATELIDAE","Alouatta","Brown Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",NA,NA,NA,NA,19.68703112,-1.30019990048768,1450.772466,-0.680227340959937,5360,0.00211840118282674,4550,-0.109546836,22.125,-0.735310789905161,4,-1.11906713117774,7182.5,-0.227729963347558,9,-0.17232055284133,9,-0.312089423921088,22,-0.988806127583859
"13","Alouatta guariba clamitans",NA,"ATELIDAE","Alouatta","Southern Brown Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",0,0,NA,"Weight from Chagas et al. 2010: https://www.scielo.br/j/cr/a/Tv5b3JShjbjWKPtPzHwy5FP/?format=pdf&lang=pt",19.60268399,-1.32638432705252,1465.630631,-0.65978275786294,4840,-0.0406427951216288,NA,NA,36.3692,-0.168869489548068,4,-1.11906713117774,7181.60009765625,-0.22839176761236,9,-0.17232055284133,NA,NA,22,-0.988806127583859
"14","Alouatta guariba guariba",NA,"ATELIDAE","Alouatta","Northern Brown Howler Monkey","Platyrrhines","Neotropics","Diurnal",FALSE,"arboreal",NA,NA,NA,NA,22.68889929,-0.36831049708173,921.9785172,-1.40783884799534,NA,NA,5190,-0.044571998,NA,NA,4,-1.11906713117774,7272.66650390625,-0.161419905104204,NA,NA,NA,NA,35,-0.460292912991836
