"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436636	Cebus albifrons (Humboldt"," 1812)	2436636	Cebus albifrons (Humboldt"," 1812)	789	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Cebus	2436635	Cebus albifrons	2436636	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4827687	Australopithecus afarensis Johanson", White & Coppens," 1978	4827687	Australopithecus afarensis Johanson", White & Coppens," 1978	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Australopithecus	4827673	Australopithecus afarensis	4827687	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5219560	Presbytis rubicunda (Müller"," 1838)	5219560	Presbytis rubicunda (Müller"," 1838)	802	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Presbytis	3239596	Presbytis rubicunda	5219560	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4267120	Chlorocebus pygerythrus pygerythrus (F.Cuvier"," 1821)	4267120	Chlorocebus pygerythrus pygerythrus (F.Cuvier"," 1821)	4429	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Chlorocebus	2436565	Chlorocebus pygerythrus	7262034	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4266928	Lepilemur ankaranensis Rumpler & Albignac"," 1975	4266928	Lepilemur ankaranensis Rumpler & Albignac"," 1975	86	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lepilemuridae	4266927	Lepilemur	2436489	Lepilemur ankaranensis	4266928	EN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5483	Hominidae	5483	Hominidae	151	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9102138	Macaca fascicularis mordax (Thomas & Wroughton"," 1909)	7262038	Macaca fascicularis fascicularis (Raffles"," 1821)	23	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca fascicularis	2436603	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436661	Saimiri sciureus (Linnaeus"," 1758)	2436661	Saimiri sciureus (Linnaeus"," 1758)	4815	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri sciureus	2436661	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436667	Aotus Illiger"," 1811	2436667	Aotus Illiger"," 1811	314	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Aotidae	3239574	Aotus	2436667			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5707419	Pongo pygmaeus morio (Owen"," 1837)	5707419	Pongo pygmaeus morio (Owen"," 1837)	671	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Pongo	5219531	Pongo pygmaeus	5219532	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
